poorSignalLevel,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,attention,meditation
,385166,421691,38587,40493,42278,33360,11459,9151,0,0
,22231,23089,10730,4908,4259,18314,16582,2689,0,0
,61759,112214,5272,2399,7056,22270,7761,10830,0,0
,13528,59832,6069,9132,6153,10493,10071,4580,0,0
,315501,29626,2358,2678,3499,5076,2800,1299,30,40
,132902,54372,17081,6276,19281,6811,11885,2761,16,51
,140643,17810,8166,2642,11623,4971,4548,1280,11,61
,474969,103164,12588,13543,22676,5261,6345,3152,1,66
,631691,31145,1484,5109,21171,13177,10644,6382,13,64
,1548917,164695,12060,31758,53072,42695,3033,3876,23,53
,317997,47838,20687,11488,4310,10726,4318,2747,24,60
,119918,158755,31377,9129,3821,14338,7025,1271,34,63
,858114,106113,4548,20283,9579,3500,2879,1175,40,70
,311967,137363,35486,16521,11039,35746,10966,21471,54,74
,700891,94617,18554,16984,28451,13570,24143,6987,35,66
,1196069,66951,23825,26621,29967,14955,11216,5968,24,80
,86529,43484,11359,6565,19607,8615,9355,6053,47,81
,7064,12223,2344,7969,8272,5154,4922,1807,48,87
,411555,54004,14281,13724,14284,7422,2086,2600,47,91
,90840,185298,30153,22607,19171,12311,11843,5541,35,83
,234965,32058,6414,2641,5066,9282,1001,2129,40,81
,160562,8073,4073,5469,10171,16122,6852,4464,56,77
,596118,158632,4818,36409,31245,33896,19151,6228,64,69
,96254,21668,3628,1745,7401,3337,4329,1270,75,66
,99456,38834,8846,8123,13239,9027,4926,4350,70,69
,68819,66129,54960,15858,24633,29916,14697,3674,54,78
,517309,37919,16888,14473,22568,18621,18277,5458,60,87
,498657,34700,7694,12556,12959,24875,10555,1385,75,93
,67032,27355,3881,11220,9226,15509,10124,2308,84,93
,88552,6167,4299,2888,4965,5677,3459,1824,93,90
,349540,32820,24570,4599,12255,10627,5876,4183,87,91
,38366,40176,30144,12287,9819,13417,10323,4699,75,100
,293648,18904,7394,3814,13819,10190,22075,4057,74,100
,421201,38549,2076,6391,10198,19749,10962,3193,69,66
,365802,45065,4080,12609,2396,8786,4700,1221,67,57
,1993152,80374,32758,32188,11645,7365,15068,3645,47,67
,950448,43437,6949,4699,1979,1802,1015,608,47,67
,780584,65102,13513,8648,11942,8627,19268,6112,43,80
,381839,110138,92960,15330,10442,12502,8733,15543,20,100
,406518,72021,33554,9523,25901,16150,15953,6882,20,100
,14761,28012,9846,5230,14913,12296,17194,7594,40,93
,1632936,90906,52465,36361,18859,20280,5514,6343,41,100
,623827,87794,22585,7122,4492,5619,8709,2264,38,93
,6611,6164,3193,12194,12053,25872,20482,3933,60,93
,213894,37587,8520,9436,20268,25279,14403,8513,63,91
,54894,16077,1157,6773,1775,4994,2750,2177,67,84
,1129130,16892,8824,12053,11532,17629,8355,8777,93,88
,1487082,352794,65418,50264,31165,58314,21712,9620,67,84
,1291428,90504,17565,14551,5786,6306,5215,3455,43,90
,18317,12842,12087,1887,7724,4099,4822,2713,41,93
,50967,37903,7508,4131,18691,17832,14589,6478,38,81
,351756,38490,6862,9534,8484,3658,2905,2057,30,84
,188813,21682,10060,12573,12948,10230,14149,16767,48,90
,713422,84112,2795,20351,26931,26983,5688,11883,53,77
,202750,11140,6483,4213,4197,6539,2818,1311,50,90
,656280,50489,28413,36291,14191,9513,19217,7438,51,100
,475283,296653,23325,22053,27430,22672,24615,18168,40,84
,12252,32341,2115,9580,12722,11065,9056,22776,40,88
,10989,14793,10549,6766,24559,11011,10653,9441,40,83
,113709,10128,4971,1356,566,4995,2286,1318,53,77
,94828,38767,24209,13394,7782,32985,27997,8431,75,90
,405181,39091,21523,5558,13357,17068,14442,1887,75,97
,48908,43000,17731,5690,8121,16371,8270,5802,69,96
,59272,15005,15712,16829,25805,21429,15738,20024,77,100
,47271,6689,6140,4075,9058,12605,10297,11772,81,96
,66060,50001,11504,32157,25924,17046,14240,11845,78,97
,204488,432825,1528,7872,15163,11226,14945,1976,54,67
,119651,61257,38815,35368,10131,12503,9459,4017,38,74
,724095,23242,7915,19056,13344,9109,1926,1916,38,74
