poorSignalLevel,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,attention,meditation
,1564168,422867,83484,166501,87423,34696,18042,31005,0,0
,500893,82609,55592,4201,16632,8156,2400,2314,0,0
,1915886,85211,16309,5179,16187,12234,5180,3054,0,0
,951970,71461,3591,11706,26911,15777,8938,2485,0,0
,936073,141232,33458,15711,24767,17457,6365,3490,40,41
,1326572,370312,35024,16392,28327,9879,3069,1286,40,41
,682610,591940,33301,76580,76811,36730,12258,12055,29,37
,117666,36837,12786,7706,4109,6742,2480,2560,37,47
,938067,255621,121786,36465,140287,47084,43747,4622,40,53
,2810147,251631,18618,44721,17135,33163,5702,1935,43,48
,1274835,135258,19344,45600,35803,78068,12320,5288,43,48
,942217,46262,28983,18566,26860,54205,28706,3536,43,48
,11975,5113,1712,1132,714,372,139,79,43,48
,0,1,0,0,0,0,1,0,43,48
,0,1,1,0,1,1,0,0,43,48
,614765,384148,69248,31003,40074,20820,3703,3155,43,48
,260313,113204,135578,100952,97647,66127,60152,36344,43,48
,1138994,598918,206487,137071,323603,237185,99828,62562,0,0
,247970,562444,70645,185763,291805,106267,50191,31426,0,0
,706727,498865,79370,297049,133865,81715,42447,69881,0,0
,605037,219775,107986,106596,94894,82792,99034,89167,0,0
,1642842,911205,623428,725994,437235,431409,145749,218126,0,0
,1865080,2003819,164544,422738,213025,301717,473130,200493,0,0
,915594,1872189,198826,525546,94145,617234,144354,130733,0,0
,3203222,1799826,960072,942860,389689,232510,191961,544869,0,0
,364190,203597,84387,122902,80877,52770,52669,77093,0,0
,1041786,167059,193819,262721,44518,59022,53940,49060,0,0
,2516802,177231,21471,42698,21302,105561,89312,64760,0,0
,67,44,16,7,1,2,1,10,0,0
,1095815,642900,623885,529025,311749,211062,182580,316113,0,0
,271862,1277425,76593,205089,301614,105591,84862,84649,0,0
,219650,168513,90096,179838,104228,64437,37683,46325,0,0
,805256,1131662,378007,849607,368743,370232,368545,170213,0,0
,861727,197460,193870,268989,58381,77535,106203,70188,0,0
,1733126,743255,358440,767982,335125,560235,104910,235458,0,0
,534451,353090,136824,113351,80486,55460,62639,68066,0,0
,401023,658200,292599,428505,321764,203712,83830,110226,0,0
,1287358,1457810,231720,797060,441207,148546,48127,63940,0,0
,129274,250971,137748,83858,154776,28515,29249,31225,0,0
,2734773,314708,111090,428900,611090,562668,175565,234349,0,0
,608199,448266,63395,195587,112745,118522,52807,66464,0,0
,615741,375955,123477,341212,94736,81742,89888,67656,0,0
,426449,255163,75210,64370,128201,147370,73605,23888,0,0
,2151382,785012,555561,523333,196071,327333,351191,126094,0,0
,694112,267018,109245,138882,131763,117891,93973,85347,0,0
,371174,399167,154975,415707,83584,133096,42796,33635,0,0
,383747,443378,37468,44311,65645,55067,74129,77297,0,0
,72267,48300,10691,49286,19504,13400,7210,10028,0,0
,420710,13536,549,4708,9344,4003,221,490,0,0
,218119,412046,55891,124346,92522,36681,31951,21928,0,0
,845423,2691964,803936,598126,510138,881811,275390,184529,0,0
,526106,1369964,2092713,813175,303095,468975,222382,201975,0,0
,524973,812977,532749,499617,689574,205185,393218,220642,0,0
,1267053,537120,736703,332663,799910,405805,268461,184188,0,0
,277921,116033,385368,194198,75092,133530,35648,64769,0,0
,642770,440197,160611,23707,55537,91154,60215,101798,0,0
,506936,879908,364297,268573,347394,415018,140983,209159,0,0
,524243,1033959,653115,334412,488274,525450,128547,178839,0,0
,852098,68114,244013,147148,67096,90583,64365,114363,0,0
,769478,206603,118186,210495,115469,141929,55716,54710,0,0
,1416899,1583129,159465,175799,349322,773831,380019,130600,0,0
,687962,1567534,988491,562205,739511,402045,474685,144042,0,0
,1804761,437528,587105,930347,396028,703369,198999,145565,0,0
,1510928,821102,879971,1532727,377934,323751,241348,132232,0,0
,313389,146849,116332,165987,200815,153007,73337,63728,0,0
,666086,663520,149562,190929,39745,77330,48823,62186,0,0
,1600902,876874,495231,724770,255290,212792,611489,282413,0,0
,469639,395724,64368,1317782,106852,454014,154749,322725,0,0
,218095,401638,237422,209585,107888,150928,30805,57973,0,0
,753022,265948,91505,215061,119599,165009,62491,56890,0,0
,278692,276334,149513,312764,63637,68376,54033,46554,0,0
,934938,437212,130418,91132,76222,124959,80852,37554,0,0
,97445,321116,178562,128480,22384,35411,44071,15825,0,0
,1236452,1540731,711702,916477,174271,337505,125618,94872,0,0
,997889,127310,290613,89185,85334,111963,39956,33730,0,0
,480027,372392,42044,88061,150519,54903,55700,43012,0,0
,131786,667764,59181,118831,65988,106056,56495,23765,0,0
,382276,2533700,594866,323925,240921,354592,267444,123140,0,0
,1013459,262439,167123,130019,53113,81312,25966,42359,0,0
,47774,392335,81182,23385,143534,60946,43444,92950,0,0
,1694480,1679733,100979,304763,314285,216634,228049,230755,0,0
,1282575,622091,543605,283163,514335,392100,141148,183612,0,0
,575049,710059,368484,809975,386705,296752,337854,453037,0,0
,271678,1304851,278421,924156,510522,397196,138630,233987,0,0
,1388404,1026247,566909,662617,678136,883135,262035,302579,0,0
,255507,273824,205262,147380,65597,123952,88254,62055,0,0
,506797,914994,550586,553246,258345,471746,356498,288456,0,0
,572284,830959,578433,1155510,575119,428003,190300,140260,0,0
,878072,1800624,214627,790179,386604,571294,269582,257058,0,0
,814401,1446177,714910,1357757,514229,377572,339360,251037,0,0
,304032,293538,47945,123599,93671,56771,69119,49177,0,0
,724890,1547193,869551,1095386,217738,216931,335866,306615,0,0
,321211,639511,178767,170213,99187,64971,47668,33678,0,0
,997465,1541936,903599,1230703,327971,324862,323363,374339,0,0
,549900,88751,37390,153977,96820,169555,109180,76727,0,0
,309541,439324,376474,76173,173140,61039,70192,30442,0,0
,971415,999377,396519,607947,227623,367318,200438,403786,0,0
,295654,547088,65816,83031,112948,137539,97624,36333,0,0
,2888195,1535107,1456195,167985,488162,234468,198483,165755,0,0
,124343,651829,30232,152160,133240,60977,53496,70240,0,0
,1776498,1216207,466790,669089,380780,346035,322532,375787,0,0
,1792069,1121089,254777,262779,383364,785298,272597,119516,0,0
,620862,139361,242655,231483,56473,89473,26137,78358,0,0
,503475,418138,72081,282604,38820,61160,65799,60273,0,0
,489551,813825,247621,376114,190952,181530,319259,216354,0,0
,1652231,240643,234556,297305,286272,422454,240664,372590,0,0
,841341,1783719,189439,1673253,299032,546880,304132,126273,0,0
,643062,1213755,955537,347387,355755,239851,247070,275004,0,0
,622979,187080,136769,85915,109981,128309,62044,41527,0,0
,49357,49376,15642,38355,19944,22042,17211,19365,0,0
,554292,71928,36671,106330,66103,147153,102316,66590,0,0
,42181,258882,271270,274763,132451,117677,34826,71984,0,0
,303057,755971,1111664,1146064,250675,595846,199130,120674,0,0
,819338,392909,152306,171121,45715,105077,39426,55029,0,0
,1764464,2310973,528404,519142,397672,275998,217218,385256,0,0
,451107,279390,233540,212680,38430,183945,82600,48236,0,0
,938054,1251938,291382,467734,500222,170128,269950,197994,0,0
,498977,181231,167492,185416,51789,174812,63518,35455,0,0
,183993,520801,242256,247424,124453,80975,39692,48960,0,0
,547075,427256,389477,186237,89067,79809,101274,71439,0,0
,289585,516916,159213,87044,158129,57055,18004,36338,0,0
,665623,533205,252428,672274,563247,459356,169233,319973,0,0
,1262601,455523,180154,108150,89808,69651,32354,39694,0,0
,171085,628782,184885,157733,104123,72257,32014,79505,0,0
,829427,1706958,897403,173716,297615,291818,204814,111061,0,0
,662860,537876,150530,312489,58909,185167,81437,85703,0,0
,825428,1115277,221022,1784122,744830,369840,236440,101026,0,0
,852773,1608962,1490061,344778,372316,312134,217579,215555,0,0
,165143,528088,468111,584653,173296,225560,35254,56408,0,0
,1310395,1188770,768604,493749,302858,402676,235722,188567,0,0
,1195162,448596,436520,1729963,222345,392860,136437,92925,0,0
,1163862,1525882,1526524,500224,538108,498094,232949,123616,0,0
,1477576,1649326,1563161,142752,216750,706749,202508,312760,0,0
,706935,103493,83635,67364,192555,86095,71757,73516,0,0
,215089,212956,212400,137671,32797,57077,97715,32355,0,0
,331098,1716869,473922,788465,254308,713455,305624,175957,0,0
,297647,701607,173686,297089,34919,70273,63213,58543,0,0
,339496,495787,141368,82351,77636,95824,83417,51136,0,0
,567288,318186,277794,191974,90769,114761,32927,45206,0,0
,627922,1384813,241578,425851,871172,253552,348117,87551,0,0
,516227,552499,22324,291334,123753,57965,62064,47185,0,0
,173222,511071,239537,163779,69227,117040,38539,44973,0,0
,1012805,615737,118892,92367,68143,89471,39131,111109,0,0
,253789,1592465,123106,993745,170405,465454,220257,122926,0,0
,84026,595035,109294,338895,155944,46371,44994,39453,0,0
,539883,1659836,181905,376780,138902,332050,238806,216463,0,0
,1238993,1027576,591920,738790,349782,354872,197860,508677,0,0
,1214558,1951268,146202,651887,706245,494505,229861,215545,0,0
,207888,73116,104922,340639,90410,120402,89688,35766,0,0
,389550,1992230,385116,850501,353938,355755,159615,216364,0,0
,1695489,1519886,529567,746509,272865,134764,141263,111801,0,0
,138738,584693,195173,104540,164698,116337,41275,29504,0,0
,1569291,1081855,153497,966690,361741,340644,465870,132347,0,0
,1449450,1643728,246192,495471,265509,269445,79519,256633,0,0
,1453557,798216,216623,309184,425282,404960,161432,370972,0,0
,815762,230773,291314,243597,75458,155925,66753,38207,0,0
,74768,15401,46757,41132,25223,22747,7234,23581,0,0
,282434,677924,123508,194011,17742,93870,83463,54402,0,0
,420407,1118572,441308,1444003,443485,460775,360603,142041,0,0
,362281,1330139,1960124,357908,303242,317478,131898,211173,0,0
,390185,350520,119034,244716,122571,96479,44962,44813,0,0
,1744992,1267160,491132,581350,247289,260465,263339,200310,0,0
,219472,107251,83119,346589,74886,195340,54315,39231,0,0
,1293364,1046460,340785,677682,206057,491394,305725,343388,0,0
,242473,148159,225476,86248,120545,89925,32002,29908,0,0
,1161519,1338976,321911,1260830,1225798,444345,215453,177532,0,0
,1102835,941346,591398,347853,282768,461827,300702,277802,0,0
,685626,339559,14415,99792,34816,132374,37656,34690,0,0
,1026445,743293,421508,926423,292043,417553,198068,127606,0,0
,694186,1508224,1174628,859190,136899,331105,240271,110829,0,0
,458354,181968,74398,139187,72749,56041,64617,61802,0,0
,831871,432410,159312,189869,199415,65014,58958,55858,0,0
,556624,463166,127116,457294,21059,103787,55849,63353,0,0
,130287,321710,34109,122747,123296,88260,38784,92946,0,0
,165699,368383,197574,149822,81381,67474,43904,30544,0,0
,282055,461905,44090,159012,200016,52407,56732,46526,0,0
,282794,443155,391756,167346,44781,162536,66298,27679,0,0
,612269,167798,212579,116704,103877,55829,61337,44957,0,0
,1359797,1207115,620885,233612,906523,431017,287224,143358,0,0
,206000,953656,64437,234566,65003,67945,49406,136700,0,0
,459635,891060,108324,100977,95656,91409,64360,70509,0,0
