poorSignalLevel,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,attention,meditation
,436859,57372,14398,43098,13455,23490,17524,15446,0,0
,3105,17372,616,10808,18199,14308,10932,2593,0,0
,33433,17417,16838,3193,14204,22522,14136,2442,0,0
,6515,8482,5811,2321,16988,11223,10620,3005,0,0
,648008,111946,47279,5843,5499,8974,6167,899,30,51
,156269,56830,25532,12465,15917,8696,20221,1733,27,75
,54291,11003,3737,2114,1429,2679,1458,1022,29,88
,58201,40376,1630,14526,5502,14918,7976,3044,35,87
,53173,12670,6310,4890,20709,10052,7919,2436,61,63
,465686,74628,6608,6087,6470,1580,870,266,43,30
,130731,14710,4727,3922,4322,4567,5593,1543,40,47
,121494,107175,24671,8149,29678,6986,4620,1309,26,29
,147665,107067,53768,30367,20976,7057,2076,1079,4,57
,120456,93380,12000,5159,6396,2379,666,457,7,63
,621692,160231,40156,18771,20265,12447,42964,3183,1,53
,173527,64624,20198,7521,16306,8642,62966,2789,1,60
,897012,114292,101822,49769,7605,19572,205823,13353,8,60
