poorSignalLevel,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,attention,meditation
,1216063,1418810,516827,173873,165033,37640,135031,105280,0,0
,6,4,0,0,1,1,0,2,0,0
,10,4,1,0,1,1,0,9,0,0
,8,2,2,1,1,2,2,17,0,0
,60,13,5,0,2,6,6,106,0,0
,808,315,121,39,37,97,132,9732,0,0
,1807494,89687,44796,19510,23817,9541,3551,33153,0,0
,2065640,70951,20964,9824,15343,4725,3658,8866,0,0
,182808,625621,301485,92191,32961,33098,28164,32780,0,0
,445426,527846,48016,120380,13199,62890,60531,67092,0,0
,1338435,1372174,289958,138977,189159,287376,171251,170896,0,0
,1157614,1640738,360413,1203723,282505,823107,152765,241449,0,0
,653181,244338,155261,162205,116780,83056,85520,47680,0,0
,96110,893912,236588,176972,40742,119246,19547,44827,0,0
,58664,31222,10386,14960,15496,7287,5336,15183,0,0
,194859,271142,241019,69364,23318,19853,11333,16420,0,0
,922137,915399,568488,376642,78481,60544,26995,148858,0,0
,886345,1900738,481195,1100114,116008,248840,70275,102952,0,0
,112252,452121,191412,143129,81551,102012,39503,16489,0,0
,1281788,777770,739179,330751,249793,176765,53455,205649,0,0
,206046,914868,850127,871381,84186,181019,138627,91099,0,0
,436212,1193543,456935,373985,54148,63889,21269,170175,0,0
,111749,741294,86766,131178,27380,44262,9334,26269,0,0
,147311,258280,24379,151849,12639,30486,21308,27369,0,0
,265853,230598,245205,85098,29599,35627,4988,59414,0,0
,1186364,905421,1274925,177287,290017,334372,246272,293639,0,0
,1942518,1349399,17758,525551,364342,297192,233634,167300,0,0
,823902,269869,56896,58253,81989,125604,31402,82143,0,0
,926205,945574,156769,227398,87047,69259,42486,81690,0,0
,1183963,149905,39585,56098,38034,28854,17958,11817,0,0
,995575,642061,70724,177455,47050,29618,21815,35344,0,0
,533740,610634,271633,184281,26453,82831,53733,60256,0,0
,1413917,1706882,493544,326516,32445,24967,14237,180473,0,0
,55929,248543,139735,37125,65290,15408,5507,64908,0,0
,1916572,908716,165192,95099,20260,47972,18317,133521,0,0
,2068087,528194,659736,593782,227952,173353,162158,142751,0,0
,418008,1885503,301196,408363,372045,193589,80530,142745,0,0
,90942,563322,50846,125606,31768,33592,13941,16027,0,0
,289803,2030665,230155,724509,154539,43688,42496,142581,0,0
,296319,1394461,199097,451048,74625,55072,59177,86896,0,0
,455378,1821187,261937,488308,254758,63920,33988,149807,0,0
,25981,518544,46026,147622,21741,29262,12114,58030,0,0
,144625,733788,109336,173800,37761,24416,7434,33199,0,0
,828154,476081,23434,151240,10165,49912,8251,34627,0,0
,153208,111982,72967,40594,10045,6584,1522,33471,0,0
,313333,377795,514302,178123,10928,28749,10232,160305,0,0
,308567,1375640,354789,168478,232964,56891,15440,137038,0,0
,1180020,872278,55694,74889,61043,70729,11382,155884,0,0
,755690,325435,57524,206989,145256,138788,85559,58217,0,0
,65009,12904,8638,7194,4339,3354,2940,1310,0,0
,1522719,71223,22538,10488,5191,3088,1176,665,0,0
,1978787,453180,97024,23859,40784,31471,9815,31029,0,0
,1332961,749300,185374,191020,102898,29181,11883,96690,0,0
,129812,311199,21169,47373,25899,7150,2623,11510,0,0
,1534952,540691,164319,187014,23488,19687,6748,85839,0,0
,424682,234416,12711,17556,7602,9250,988,22158,0,0
,2404841,461309,69864,77126,38355,57306,10190,57432,0,0
,124783,19404,20426,4914,2530,2107,677,4040,0,0
,333653,56486,26653,17499,16583,13527,12325,8924,0,0
,503087,104856,28367,6354,11667,4579,2267,11653,0,0
,252517,53771,37323,8892,4062,7202,1204,11222,0,0
,57910,9052,14775,2710,2601,1767,544,2328,0,0
,95910,11286,7026,3071,1650,1901,193,3153,0,0
,704383,48324,62160,9420,5248,2976,889,7631,0,0
,1194569,514850,146036,136468,229293,63925,15780,214482,0,0
,288063,1323793,110758,619741,51266,49770,21592,170963,0,0
,516127,557047,138359,86355,18688,27881,8974,18338,0,0
,475041,49372,78762,11973,5537,11720,9928,53794,0,0
,1429006,1316244,636315,163812,172748,85700,38958,69539,37,48
,922962,34773,96001,8933,6348,4430,1826,12223,37,48
,242124,601445,112604,230200,79497,35421,7908,114074,34,57
,516335,1625132,686396,333152,42733,43035,30371,106352,34,57
,1032531,1344733,495356,159783,50812,30476,7829,123813,34,57
,231382,250162,48180,181602,23798,26793,2860,27010,34,57
,908250,366282,108457,46493,13451,10288,5716,35103,23,63
,985984,559378,129285,43231,81543,28015,31659,54233,23,63
,651700,965439,114804,24309,69354,22278,12757,111251,14,44
,876886,692845,319595,66955,69070,51555,11202,60005,16,43
,986580,158515,106390,42955,25006,11163,5293,57097,14,53
