poorSignalLevel,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGammaattention,meditationblinkStrength
,844956,83678,20764,16506,32748,21646,6609,9106,0,0
,391265,110014,25717,8311,22527,10132,7971,3904,0,0
,56023,21539,7446,14590,3552,23071,8674,4923,0,0
,120369,52352,20836,14231,9186,9849,26477,12411,0,0
,1471904,174616,31785,12647,50596,31250,19685,12164,38,30
,40973,9953,22568,9786,10296,20273,12490,10483,50,54
,13861,8237,21055,7087,10577,22430,4891,4763,63,75
37
,36765,59863,10790,6419,1793,5957,2702,1674,56,75
,2667,27939,12458,4673,14027,10978,16198,1768,61,90
60
,320514,13188,1985,694,2010,5183,2364,972,57,54
,394065,69266,97247,19911,12231,9963,11460,4659,34,57
,994348,285055,44161,61742,18433,26006,15251,5310,30,57
34
,117186,1263,1617,3317,4106,2344,4477,695,37,61
,313260,32705,20392,13711,10859,7052,14748,7639,35,87
,32256,21506,8888,9403,6641,17868,8374,8940,54,90
,29229,9024,12148,4224,8399,7521,5980,8574,51,91
,10464,18095,5884,8030,5493,31259,10809,8831,70,64
,26687,9293,36608,7572,7814,19530,10550,4623,83,74
,29059,40468,9077,20413,12212,15738,10538,3009,77,75
,4308,3670,10768,22504,5745,17053,11902,4607,81,87
,123841,231268,4495,7225,17962,14744,25040,5414,53,70
63
,814390,165508,56544,2665,16984,20613,6964,4896,40,54
64
,40605,61217,14638,7314,11430,1821,2256,1225,17,54
71
,724448,28123,11231,10107,8423,5221,1978,1408,4,43


============================================== GAYATRI Data ============================================
poorSignalLevel,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGammaattention,meditationblinkStrength
poorSignalLevel,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGammaattention,meditationblinkStrength
,180662,110863,48360,3404,13279,2097,3203,5364,0,0
,143845,66308,13237,13338,19908,3929,8043,20279,0,0
,32051,135754,8332,4532,5634,2811,1336,3287,0,0
,688779,417185,13271,6519,23927,14212,9861,21645,0,0
,486757,150666,13775,31842,17090,31278,20422,16346,53,51
85
,227537,206348,54716,42950,22195,13661,16675,12351,53,67
83
,304120,51520,10483,7578,7372,4375,774,4234,56,83
,56000,29557,5559,8624,8314,11233,2128,11564,74,97
88
,2962916,225398,52236,54175,40065,49480,14875,12174,74,100
91
,154378,44143,7266,6142,4501,2007,577,589,69,97
,129632,76950,4123,7691,5554,2718,2808,1729,63,90
101
99
,199185,15450,13350,3565,2270,6272,1609,846,61,97
,33284,17653,9979,4944,2292,5716,4422,4655,63,100
,203453,77404,27380,16790,14591,13189,5553,9921,74,100
62
,418259,75063,6930,4407,2618,5891,5082,2115,80,100
,26468,36417,10227,9886,5965,9961,12866,11724,70,97
,69463,45408,10666,17665,11476,15459,5489,6152,78,96
57
,230762,37672,24260,13469,6903,2379,1221,2669,69,100
,1404383,107210,16008,8754,23159,13704,9535,4830,74,97
,63213,52342,20370,20267,5853,7172,6704,4089,66,100
,6366,8200,9470,3962,3182,2660,6569,5432,61,100
74
,280821,6873,9631,6395,7765,2684,1344,523,74,100
,1250004,93102,14808,41540,21556,20247,6065,10384,77,100
69
,798345,322534,74453,42863,15290,22976,6963,2733,70,100
61
,99362,53189,13330,15717,4257,3066,1370,1083,60,100
,262987,333664,34441,21618,14038,8312,6493,11000,44,83
,132308,22471,7498,3051,5864,5770,6657,6686,48,81
,157890,50646,1159,3277,9913,3356,3330,2910,50,64
47
,2299685,79285,16181,2713,3852,2962,3915,1421,63,64
48
,842021,297052,22157,17346,11221,11559,18633,2817,50,54
,324524,38296,4543,8620,7958,3507,2531,1101,50,69
,440135,155705,7277,30346,9839,20430,10200,8861,48,63
73
,385945,496817,23586,25434,3934,8555,5536,4202,41,53
,30417,134998,19084,35500,14819,14038,7153,3430,51,67
,43245,29799,2220,20385,18730,11315,5098,3821,57,75
,54057,50371,10036,5038,5629,4694,1212,426,74,87
76
,1313841,61972,5204,23672,8109,4968,3017,1819,67,87
56
,457409,36296,59189,14832,26003,8880,5498,3217,60,94
65
,355464,4890,3117,1624,2210,1471,1122,856,66,100
66
81
,103122,23271,2047,5492,3488,870,1227,719,60,97
